id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
139,Michael Roberts,mrobe_2,USA,USA,/profile-bio/men/Michael_Roberts/,,,M
141,John Barton,jbart,GBR,XXX,/profile-bio/men/John_Barton/,,,M
142,Giovanna Carotenuto,gcaro,Italy,ITA,/profile-bio/women/Giovanna_Carotenuto/,,,F
144,Janet Souto,jsout,Spain,ESP,/profile-bio/women/Janet_Souto/,,,F
145,Nathalie Ballet,nball,France,FRA,/profile-bio/women/Nathalie_Ballet/,,,F
147,Florin Segarceanu,fsega,ROU,ROM,/profile-bio/men/Florin_Segarceanu/,,,M
148,Zeljko Cica,zcica,YUG,XXX,/profile-bio/men/Zeljko_Cica/,,,M
150,Claude N'Goran,cn,CIV,XXX,/profile-bio/men/Claude_N,,,M
151,Peter Palandjian,ppala,USA,USA,/profile-bio/men/Peter_Palandjian/,,,M
152,Nathalie Gilbert,ngilb,France,FRA,/profile-bio/women/Nathalie_Gilbert/,,,F
153,Bill Behrens,bbehr,USA,USA,/profile-bio/men/Bill_Behrens/,,,M
155,Laura Glitz,lglit,United States,USA,/profile-bio/women/Laura_Glitz/,,,F
156,Pier Squillari,psqui,ARG,ARG,/profile-bio/men/Pier_Squillari/,,,M
158,Dirk Leppen,dlepp,GER,DEU,/profile-bio/men/Dirk_Leppen/,,,M
159,Jose De Miguel,jdemi,ESP,ESP,/profile-bio/men/Jose_De_Miguel/,,,M
160,Mirijam Schweda,mschw,Austria,AUT,/profile-bio/women/Mirijam_Schweda/,,,F
161,Vicente Solves,vsolv,ESP,ESP,/profile-bio/men/Vicente_Solves/,,,M
162,Gerardo Mirad,gmira,ARG,ARG,/profile-bio/men/Gerardo_Mirad/,,,M
163,Johan Donar,jdona_2,SWE,SWE,/profile-bio/men/Johan_Donar/,,,M
164,Ville Jansson,vjans,SWE,SWE,/profile-bio/men/Ville_Jansson/,,,M
167,Monica Rey,mrey,Spain,ESP,/profile-bio/women/Monica_Rey/,,,F
170,Mauricio Lederman,mlede,COL,COL,/profile-bio/men/Mauricio_Lederman/,,,M
